station_id,display_name,original_names,n_original_names,lines,n_lines
Westminster,Westminster,Westminster,1,Circle-Main;District-Main;Jubilee,3
White City,White City,White City,1,Central-Main,1
Whitechapel,Whitechapel,Whitechapel,1,District-Main;Hammersmith & City,2
Willesden Green,Willesden Green,Willesden Green,1,Jubilee,1
Willesden Junction,Willesden Junction,Willesden Junction,1,Bakerloo,1
Wimbledon,Wimbledon,Wimbledon,1,District-Wimbledon,1
Wimbledon Park,Wimbledon Park,Wimbledon Park,1,District-Wimbledon,1
Wood Green,Wood Green,Wood Green,1,Piccadilly-Main,1
Wood Lane,Wood Lane,Wood Lane,1,Circle-Hammersmith;Hammersmith & City,2
Woodford,Woodford,Woodford,1,Central-Epping;Central-Hainault Loop,2
Woodside Park,Woodside Park,Woodside Park,1,Northern-High Barnet,1
