edge_id,station_a,station_b,lines,n_lines
Roding Valley__Woodford,Roding Valley,Woodford,Central-Hainault Loop,1
Royal Oak__Westbourne Park,Royal Oak,Westbourne Park,Circle-Hammersmith;Hammersmith & City,2
Ruislip__Ruislip Manor,Ruislip,Ruislip Manor,Metropolitan-Uxbridge;Piccadilly-Uxbridge,2
Seven Sisters__Tottenham Hale,Seven Sisters,Tottenham Hale,Victoria,1
Shepherd’s Bush__White City,Shepherd’s Bush,White City,Central-Main,1
Shepherd’s Bush Market__Wood Lane,Shepherd’s Bush Market,Wood Lane,Circle-Hammersmith;Hammersmith & City,2
Sloane Square__South Kensington,Sloane Square,South Kensington,Circle-Main;District-Main,2
Sloane Square__Victoria,Sloane Square,Victoria,Circle-Main;District-Main,2
Snaresbrook__South Woodford,Snaresbrook,South Woodford,Central-Hainault Loop,1
South Harrow__Sudbury Hill,South Harrow,Sudbury Hill,Piccadilly-Uxbridge,1
South Woodford__Woodford,South Woodford,Woodford,Central-Hainault Loop,1
Southfields__Wimbledon Park,Southfields,Wimbledon Park,District-Wimbledon,1
Southwark__Waterloo,Southwark,Waterloo,Jubilee,1
St. James's Park__Victoria,St. James's Park,Victoria,Circle-Main;District-Main,2
St. James's Park__Westminster,St. James's Park,Westminster,Circle-Main;District-Main,2
St. John’s Wood__Swiss Cottage,St. John’s Wood,Swiss Cottage,Jubilee,1
Stamford Brook__Turnham Green,Stamford Brook,Turnham Green,District-Main,1
Stepney Green__Whitechapel,Stepney Green,Whitechapel,District-Main;Hammersmith & City,2
Stockwell__Vauxhall,Stockwell,Vauxhall,Victoria,1
Stonebridge Park__Wembley Central,Stonebridge Park,Wembley Central,Bakerloo,1
Stratford__West Ham,Stratford,West Ham,Jubilee,1
Sudbury Hill__Sudbury Town,Sudbury Hill,Sudbury Town,Piccadilly-Uxbridge,1
Tooting Bec__Tooting Broadway,Tooting Bec,Tooting Broadway,Northern-Main,1
Totteridge & Whetstone__Woodside Park,Totteridge & Whetstone,Woodside Park,Northern-High Barnet,1
Turnpike Lane__Wood Green,Turnpike Lane,Wood Green,Piccadilly-Main,1
Upminster__Upminster Bridge,Upminster,Upminster Bridge,District-Main,1
Waterloo__Westminster,Waterloo,Westminster,Jubilee,1
West Finchley__Woodside Park,West Finchley,Woodside Park,Northern-High Barnet,1
Wimbledon__Wimbledon Park,Wimbledon,Wimbledon Park,District-Wimbledon,1
